n,sat,algorithm,time
410,0.8,HC,0.626
410,0.95,HC,0.73
420,0.2,HC,0.271
420,0.3,HC,1
420,0.4,HC,0.573
420,0.6,HC,0.741
420,0.8,HC,0.826
420,0.95,HC,0.757
430,0.2,HC,0.393
430,0.3,HC,0.67
430,0.4,HC,0.643
430,0.6,HC,0.636
430,0.8,HC,0.791
430,0.95,HC,0.743
440,0.2,HC,1
440,0.3,HC,1
440,0.4,HC,0.668
440,0.6,HC,0.74
440,0.8,HC,0.762
440,0.95,HC,0.945
450,0.2,HC,1
450,0.3,HC,0.571
450,0.4,HC,0.545
450,0.6,HC,0.714
450,0.8,HC,0.813
450,0.95,HC,0.882
460,0.2,HC,1
460,0.3,HC,0.481
460,0.4,HC,0.686
460,0.6,HC,1
460,0.8,HC,0.875
460,0.95,HC,1
470,0.2,HC,0.422
470,0.3,HC,0.677
470,0.4,HC,1
470,0.6,HC,0.834
470,0.8,HC,0.93
470,0.95,HC,0.968
480,0.2,HC,1
480,0.3,HC,0.822
480,0.4,HC,0.674
480,0.6,HC,0.871
480,0.8,HC,1
480,0.95,HC,1
490,0.2,HC,1
490,0.3,HC,0.8
490,0.4,HC,0.95
490,0.6,HC,1
490,0.8,HC,1
490,0.95,HC,1
500,0.2,HC,0.831
500,0.3,HC,0.796
500,0.4,HC,1
500,0.6,HC,1
500,0.8,HC,1
500,0.95,HC,1
510,0.2,HC,1
510,0.3,HC,0.657
510,0.4,HC,0.84
510,0.6,HC,1
510,0.8,HC,1
510,0.95,HC,1
520,0.2,HC,1
520,0.3,HC,1
520,0.4,HC,1
520,0.6,HC,1
520,0.8,HC,1
520,0.95,HC,1
530,0.2,HC,1
530,0.3,HC,0.9
530,0.4,HC,0.984
530,0.6,HC,1
530,0.8,HC,1
530,0.95,HC,1
540,0.2,HC,0.618
540,0.3,HC,0.865
540,0.4,HC,1
540,0.6,HC,1
540,0.8,HC,1
540,0.95,HC,1
550,0.2,HC,1
550,0.3,HC,1
550,0.4,HC,1
550,0.6,HC,1
550,0.8,HC,1
550,0.95,HC,1
560,0.2,HC,1
560,0.3,HC,1
560,0.4,HC,1
560,0.6,HC,1
560,0.8,HC,1
560,0.95,HC,1
570,0.2,HC,1
570,0.3,HC,1
570,0.4,HC,1
570,0.6,HC,1
570,0.8,HC,1
570,0.95,HC,1
580,0.2,HC,1
580,0.3,HC,1
580,0.4,HC,1
580,0.6,HC,1
580,0.8,HC,1
580,0.95,HC,1
590,0.2,HC,0.826
590,0.3,HC,1
590,0.4,HC,1
590,0.6,HC,1
590,0.8,HC,1
590,0.95,HC,1
600,0.2,HC,1
600,0.3,HC,1
600,0.4,HC,1
600,0.6,HC,1
600,0.8,HC,1
600,0.95,HC,1
610,0.2,HC,1
610,0.3,HC,1
610,0.4,HC,1
610,0.6,HC,1
610,0.8,HC,1
610,0.95,HC,1
620,0.2,HC,1
620,0.3,HC,1
620,0.4,HC,1
620,0.6,HC,1
620,0.8,HC,1
