n, capacity, method, time, result
46000, 10000, GR, 0.014, 229179
46000, 12500, GR, 0.014, 258732
46000, 15000, GR, 0.015, 285461
46000, 17500, GR, 0.02, 309963
46000, 20000, GR, 0.022, 332713
46000, 22500, GR, 0.022, 353967
46000, 25000, GR, 0.021, 374014
47000, 10000, GR, 0.019, 229341
47000, 12500, GR, 0.019, 259265
47000, 15000, GR, 0.016, 286260
47000, 17500, GR, 0.016, 311091
47000, 20000, GR, 0.015, 334354
47000, 22500, GR, 0.014, 356288
47000, 25000, GR, 0.015, 376896
48000, 10000, GR, 0.017, 234290
48000, 12500, GR, 0.019, 264221
48000, 15000, GR, 0.015, 291302
48000, 17500, GR, 0.016, 316106
48000, 20000, GR, 0.016, 339204
48000, 22500, GR, 0.015, 360811
48000, 25000, GR, 0.015, 381237
49000, 10000, GR, 0.015, 234565
49000, 12500, GR, 0.016, 264593
49000, 15000, GR, 0.018, 291810
49000, 17500, GR, 0.02, 316897
49000, 20000, GR, 0.017, 340323
49000, 22500, GR, 0.019, 362347
49000, 25000, GR, 0.027, 383161
50000, 10000, GR, 0.015, 235360
50000, 12500, GR, 0.015, 266128
50000, 15000, GR, 0.015, 293718
50000, 17500, GR, 0.016, 319175
50000, 20000, GR, 0.016, 342870
50000, 22500, GR, 0.015, 365136
50000, 25000, GR, 0.016, 386173
